Povpreène meseène bruto plaèe v javnem in zasebnem sektorju po: SEKTOR,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOL, LETO , DOSEŽENA IZOBRAZBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;2008; ; ; ;2009; ; ; ;2010; ; ; ;2011; ; ; ;2012; ; ; ;2013; ; ; ;2014; ; ; ;2015; ; ; ;2016 (zaèasni podatki); ; ; 
 ; ;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Izobrazba - Skupaj;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska
1 Javni in zasebni sektor - SKUPAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ;1427;891;1203;2322;1477;895;1219;2362;1538;952;1265;2375;1582;993;1287;2375;1601;1022;1301;2347;1598;1037;1302;2292;1637;1068;1334;2311;1652;1087;1346;2313;1685;1103;1364;2334
 ;Moški;1474;955;1269;2644;1496;940;1264;2657;1564;1003;1316;2661;1617;1052;1345;2657;1639;1088;1363;2633;1639;1108;1364;2568;1678;1143;1400;2569;1698;1170;1418;2579;1732;1189;1437;2596
 ;Ženske;1368;793;1105;2079;1453;824;1152;2144;1506;873;1189;2164;1542;909;1202;2171;1555;929;1210;2144;1551;940;1209;2097;1589;964;1232;2125;1598;973;1233;2123;1630;987;1249;2146
11 Javni sektor - SKUPAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ;1708;955;1353;2268;1815;990;1419;2384;1824;1007;1415;2369;1870;1012;1425;2362;1843;1033;1425;2311;1823;1039;1409;2252;1863;1066;1450;2283;1859;1060;1439;2281;1908;1066;1459;2318
 ;Moški;1829;1118;1462;2622;1924;1124;1511;2744;1931;1150;1508;2710;2016;1196;1542;2695;1975;1220;1546;2635;1965;1230;1536;2582;2003;1269;1586;2593;2008;1277;1590;2613;2070;1287;1619;2641
 ;Ženske;1618;822;1246;2082;1736;892;1331;2200;1749;904;1325;2196;1776;915;1323;2196;1754;914;1310;2149;1732;917;1294;2095;1769;940;1318;2129;1761;922;1294;2123;1806;946;1312;2163
111 Javni sektor - sektor država;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ;1742;820;1278;2182;1876;895;1382;2321;1877;900;1366;2313;1886;914;1356;2297;1840;928;1338;2228;1809;925;1295;2167;1845;950;1347;2198;1840;935;1332;2188;1903;931;1361;2239
 ;Moški;1945;995;1371;2490;2100;1066;1491;2661;2083;1057;1458;2641;2078;1117;1453;2602;2003;1134;1439;2510;1982;1128;1375;2451;2000;1170;1454;2455;2010;1170;1462;2464;2096;1063;1501;2512
 ;Ženske;1647;796;1223;2047;1773;873;1321;2175;1782;881;1312;2173;1796;887;1299;2167;1763;883;1275;2112;1735;882;1253;2057;1771;904;1280;2092;1765;888;1254;2082;1818;916;1282;2131
112 Javni sektor - javne družbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ;1646;1044;1440;2640;1698;1060;1464;2656;1720;1088;1476;2612;1832;1113;1529;2655;1850;1139;1544;2642;1854;1156;1557;2607;1905;1191;1595;2643;1902;1181;1583;2665;1922;1198;1594;2676
 ;Moški;1721;1133;1521;2966;1752;1131;1524;2958;1776;1162;1542;2888;1932;1212;1625;2949;1943;1246;1635;2934;1946;1260;1650;2884;2007;1299;1699;2938;2006;1305;1690;2952;2038;1324;1713;2980
 ;Ženske;1524;867;1292;2301;1613;926;1352;2353;1632;949;1354;2335;1701;975;1382;2374;1722;979;1390;2358;1719;992;1391;2327;1759;1021;1410;2352;1748;992;1388;2372;1756;1011;1384;2375
12 Zasebni sektor - SKUPAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ;1287;878;1146;2393;1304;873;1144;2334;1383;939;1205;2383;1430;989;1237;2392;1462;1020;1253;2396;1472;1037;1262;2342;1506;1068;1290;2347;1536;1094;1312;2352;1562;1111;1331;2353
 ;Moški;1352;930;1212;2662;1350;912;1193;2586;1432;981;1258;2621;1482;1035;1293;2626;1513;1068;1309;2630;1523;1089;1317;2557;1556;1123;1347;2549;1588;1153;1370;2555;1616;1176;1391;2563
 ;Ženske;1181;784;1033;2073;1227;798;1057;2040;1302;861;1112;2104;1344;907;1138;2124;1380;934;1153;2134;1391;950;1162;2101;1424;974;1184;2116;1451;995;1199;2121;1473;1004;1215;2116
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e=8153 target=_blank) Metodološka pojasnila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Podatki za leto 2016 so zaèasni.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
